emp_title,emp_length,home_ownership,annual_inc,verification_status,addr_state,avg_cur_bal,Tot_cur_bal,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,pymnt_plan,type,purpose,description
Printer repair tech,2 years,MORTGAGE,45000,Verified,NC,6686,46801,Fully Paid,8000,NC,8000, 36 months,0.1655,283.44,D,false,Individual,home_improvement,Home improvement
Driver,< 1 year,OWN,54000,Source Verified,TX,385,1156,Current,10200,TX,10200, 36 months,0.0846,321.79999,A,false,Individual,debt_consolidation,Debt consolidation
Vice President,10+ years,MORTGAGE,240000,Source Verified,NY,109274,764918,Current,7350,NY,7350, 36 months,0.0702,227.02,A,false,Individual,home_improvement,Home improvement
Senior Business Advisor,2 years,RENT,82500,Source Verified,MI,2004,10019,Current,15000,MI,15000, 36 months,0.0797,469.84,A,false,Individual,debt_consolidation,Debt consolidation
receiver/rtv,10+ years,RENT,45000,Source Verified,CA,2074,29034,Fully Paid,13500,CA,13500, 36 months,0.1099,441.91,B,false,Individual,debt_consolidation,Debt consolidation
Training Manager,1 year,RENT,140000,Source Verified,MA,18946,189467,Current,30000,MA,30000, 60 months,0.1505,714.48999,C,false,Individual,debt_consolidation,Debt consolidation
Project Designer,6 years,MORTGAGE,41900,Source Verified,IN,10266,92392,Charged Off,5400,IN,5400, 36 months,0.1099,176.77,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
RN/HOUSE SUPERVISOR,7 years,MORTGAGE,85000,Source Verified,AL,12988,116890,Fully Paid,32000,AL,32000, 36 months,0.2145,1213.01,D,false,Individual,debt_consolidation,Debt consolidation
Associate,< 1 year,OWN,60000,Source Verified,CA,1213,6063,Fully Paid,3200,CA,3200, 36 months,0.0917,102.02,B,false,Individual,car,Car financing
Construction Manager ,6 years,MORTGAGE,140000,Source Verified,TX,7368,58940,Current,18000,TX,18000, 60 months,0.124,404.04999,B,false,Individual,other,Other
Delivery Driver,2 years,RENT,24000,Source Verified,PA,572,4572,Fully Paid,5000,PA,5000, 36 months,0.1099,163.67,B,false,Individual,debt_consolidation,Debt consolidation
Service Representative,10+ years,RENT,60000,Not Verified,KS,3629,50804,Current,9000,KS,9000, 36 months,0.1399,307.56,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Supervisor,10+ years,MORTGAGE,72000,Source Verified,MN,13133,183859,Fully Paid,18350,MN,18350, 36 months,0.1561,641.60999,D,false,Individual,debt_consolidation,Debt consolidation
Dockman,10+ years,MORTGAGE,55000,Not Verified,IN,10970,120668,Current,2500,IN,2500, 36 months,0.0824,78.620003,B,false,Individual,home_improvement,Home improvement
Project Manager,3 years,RENT,100000,Verified,AZ,5454,65447,Current,24000,AZ,24000, 36 months,0.0975,771.59998,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Principal,9 years,RENT,130000,Source Verified,CA,5113,66479,Fully Paid,16000,CA,16000, 60 months,0.1531,383.25,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Implementation Consultant,3 years,MORTGAGE,55000,Not Verified,AZ,36285,326561,Current,24700,AZ,24700, 36 months,0.0881,783.28003,A,false,Joint App,credit_card,Credit card refinancing
Payroll,10+ years,OWN,86000,Not Verified,CA,4035,36314,Current,20000,CA,20000, 36 months,0.1502,693.51001,C,false,Individual,debt_consolidation,Debt consolidation
Director Stretegic Accounts,3 years,MORTGAGE,140000,Not Verified,PA,19895,278530,Fully Paid,25000,PA,25000, 36 months,0.079,782.26001,A,false,INDIVIDUAL,credit_card,Credit card refinancing
Group Manager,10+ years,RENT,186000,Not Verified,NY,5540,88637,Current,10000,NY,10000, 36 months,0.1894,366.26001,D,false,Individual,credit_card,Credit card refinancing
Engineer Corporate Applications,6 years,MORTGAGE,68000,Not Verified,CT,2438,24383,Current,15000,CT,15000, 36 months,0.1139,493.85999,B,false,Individual,credit_card,Credit card refinancing
Production Manager,2 years,RENT,75000,Not Verified,CA,13419,147611,Fully Paid,12000,CA,12000, 36 months,0.1153,395.89001,B,false,Individual,debt_consolidation,Debt consolidation
Supervisor,4 years,RENT,100000,Source Verified,NH,3798,79763,Current,15950,NH,15950, 60 months,0.1524,381.47,C,false,Individual,debt_consolidation,Debt consolidation
ITC Manager,9 years,RENT,87000,Source Verified,CA,5465,76508,Fully Paid,20000,CA,20000, 36 months,0.1153,659.81,B,false,Individual,debt_consolidation,Debt consolidation
Analyst,7 years,RENT,126000,Not Verified,VA,48595,583140,Current,6500,VA,6500, 36 months,0.1602,228.59,C,false,Individual,debt_consolidation,Debt consolidation
Property Assistant,3 years,RENT,60000,Source Verified,NY,9318,37272,Fully Paid,1500,NY,1500, 36 months,0.1262,50.27,C,false,Individual,vacation,Vacation
Owner,4 years,MORTGAGE,140000,Not Verified,CA,40416,525405,Current,15000,CA,15000, 60 months,0.1049,322.34,B,false,Individual,major_purchase,Major purchase
IMPORT SPECIALIST / OPERATIONS,3 years,MORTGAGE,72000,Source Verified,GA,11801,153417,Current,6500,GA,6500, 36 months,0.0721,201.33,A,false,Individual,debt_consolidation,Debt consolidation
Web Developer,4 years,RENT,48000,Not Verified,MI,2295,9178,Fully Paid,4900,MI,4900, 36 months,0.0949,156.94,B,false,Individual,credit_card,Credit card refinancing
Police Civilian/IT,10+ years,MORTGAGE,155000,Source Verified,NY,12226,171168,Current,35000,NY,35000, 60 months,0.1557,843.15997,C,false,Individual,debt_consolidation,Debt consolidation
Driver,10+ years,OWN,80000,Not Verified,NH,3931,47167,Current,15000,NH,15000, 60 months,0.1008,319.29999,B,false,Joint App,credit_card,Credit card refinancing
Facility Service Technician,8 years,MORTGAGE,61000,Source Verified,TN,33745,236218,Current,25000,TN,25000, 60 months,0.1747,627.65002,D,false,Joint App,home_improvement,Home improvement
Operations,< 1 year,OWN,61200,Source Verified,TN,7227,43361,Fully Paid,5000,TN,5000, 36 months,0.1198,166.03,B,false,Individual,debt_consolidation,Debt consolidation
inventory Manager,4 years,MORTGAGE,60000,Not Verified,TX,23392,257307,Fully Paid,7200,TX,7200, 36 months,0.1399,246.05,C,false,Individual,credit_card,Credit card refinancing
Admin Officer,10+ years,OWN,92000,Verified,VA,8321,324521,Fully Paid,20000,VA,20000, 60 months,0.1561,482.23001,D,false,Individual,debt_consolidation,Debt consolidation
NURSE PRACTITIONER,2 years,RENT,98000,Source Verified,MS,7873,125969,Current,10000,MS,10000, 36 months,0.1349,339.31,C,false,Individual,other,Other
Operator,4 years,OWN,108000,Verified,TX,16040,112277,Current,6500,TX,6500, 36 months,0.0944,208.03999,B,false,Individual,debt_consolidation,Debt consolidation
Sales Specialist,1 year,MORTGAGE,41000,Not Verified,MI,1950,27300,Current,7800,MI,7800, 36 months,0.1359,265.04001,C,false,Individual,debt_consolidation,Debt consolidation
Sales,1 year,RENT,62000,Verified,AL,5537,33222,Fully Paid,9000,AL,9000, 36 months,0.1199,298.89001,C,false,Individual,debt_consolidation,Debt consolidation
consultant,9 years,MORTGAGE,140000,Source Verified,KY,11468,183485,Fully Paid,28800,KY,28800, 60 months,0.1953,755.52002,D,false,INDIVIDUAL,credit_card,Credit card refinancing
Commercial Fisherman,6 years,MORTGAGE,30000,Source Verified,LA,28416,85249,Current,21300,LA,21300, 60 months,0.1602,518.21002,C,false,Individual,debt_consolidation,Debt consolidation
valet driver,1 year,RENT,40000,Verified,OH,2917,35004,Fully Paid,3000,OH,3000, 36 months,0.1269,100.64,C,false,Individual,debt_consolidation,Debt consolidation
Account Manager,1 year,OWN,46500,Source Verified,LA,2006,28087,Current,7000,LA,7000, 36 months,0.0899,222.57001,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Manager,1 year,RENT,35000,Source Verified,AZ,1584,15843,Current,10000,AZ,10000, 60 months,0.1198,222.35001,B,false,Individual,other,Other
Managing Director - Accounting Policy,< 1 year,MORTGAGE,320000,Source Verified,CT,54951,769320,Current,20000,CT,20000, 36 months,0.0824,628.95001,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
logistical planner,5 years,MORTGAGE,50000,Source Verified,MI,2011,22125,Current,7975,MI,7975, 36 months,0.1199,264.85001,C,false,INDIVIDUAL,medical,Medical expenses
Registered Nurse,7 years,RENT,103000,Source Verified,CA,6506,110594,Current,18825,CA,18825, 36 months,0.1155,621.22998,B,false,Individual,debt_consolidation,Debt consolidation
Nursing Supervisor ,10+ years,MORTGAGE,111000,Not Verified,NY,13548,94838,Current,24675,NY,24675, 36 months,0.1171,816.15002,B,false,Individual,credit_card,Credit card refinancing
UCSD,2 years,RENT,39000,Source Verified,CA,3656,47534,Fully Paid,10000,CA,10000, 36 months,0.1235,333.82001,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Client success manager ,5 years,RENT,57000,Source Verified,AZ,5217,83471,Charged Off,24000,AZ,24000, 60 months,0.3089,789.65997,G,false,Individual,debt_consolidation,Debt consolidation
teller/csr,10+ years,MORTGAGE,41000,Verified,SC,19970,139792,Current,10500,SC,10500, 36 months,0.2,390.22,D,false,Individual,debt_consolidation,Debt consolidation
Senior NDT Technician,8 years,MORTGAGE,46815,Not Verified,IL,16795,134363,Current,8400,IL,8400, 36 months,0.0699,259.32999,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Superintendent ,3 years,MORTGAGE,70000,Source Verified,MD,26359,342669,Fully Paid,15400,MD,15400, 60 months,0.1149,338.60999,B,false,Individual,debt_consolidation,Debt consolidation
NLMK Pa,7 years,MORTGAGE,60000,Source Verified,PA,10687,85498,Current,10000,PA,10000, 60 months,0.1064,215.64,B,false,INDIVIDUAL,debt_consolidation,debt cleanup
Device specialist,10+ years,RENT,87000,Source Verified,NJ,2025,22271,Current,24000,NJ,24000, 36 months,0.0846,757.17999,A,false,Individual,debt_consolidation,Debt consolidation
Teacher,7 years,MORTGAGE,68000,Source Verified,MO,7693,69239,Current,2500,MO,2500, 36 months,0.0819,78.57,A,false,Individual,other,Other
Operations Supervisor,4 years,MORTGAGE,50940,Source Verified,PA,23421,163948,Current,10000,PA,10000, 36 months,0.0975,321.5,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Supervisor,10+ years,OWN,93000,Source Verified,TN,14250,156745,Current,10000,TN,10000, 36 months,0.1199,332.10001,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Project Manager,9 years,MORTGAGE,150000,Source Verified,AZ,30591,367096,Current,16000,AZ,16000, 60 months,0.1049,343.82999,B,false,Individual,home_improvement,Home improvement
Financial Advisor Associate,3 years,MORTGAGE,55000,Source Verified,PA,26006,182040,Current,15000,PA,15000, 36 months,0.1042,486.98001,B,false,Individual,credit_card,Credit card refinancing
Bilingual Customer Senior Rep,< 1 year,MORTGAGE,44000,Not Verified,FL,76321,305285,Fully Paid,15000,FL,15000, 36 months,0.0735,465.57001,A,false,Individual,debt_consolidation,Debt consolidation
Production operators ,1 year,MORTGAGE,36000,Source Verified,NE,3698,22189,Late (31-120 days),10000,NE,10000, 36 months,0.1845,363.79001,D,false,Individual,debt_consolidation,Debt consolidation
billing  specialist,1 year,RENT,34000,Not Verified,OR,2847,25623,Fully Paid,10000,OR,10000, 36 months,0.1229,333.53,C,false,Individual,credit_card,Credit card refinancing
Paralegal,3 years,MORTGAGE,60000,Source Verified,GA,13230,291051,Current,15000,GA,15000, 60 months,0.2305,423.29001,D,false,Individual,debt_consolidation,Debt consolidation
Network Technician,3 years,RENT,61500,Source Verified,MD,73867,295466,Fully Paid,5000,MD,5000, 36 months,0.1359,169.89999,C,false,Individual,debt_consolidation,Debt consolidation
Service manager,< 1 year,MORTGAGE,146000,Source Verified,CT,5442,97948,Fully Paid,15000,CT,15000, 36 months,0.0818,471.29999,B,false,Individual,credit_card,Credit card refinancing
IT Technical Analyst,10+ years,RENT,80000,Not Verified,CA,4080,61197,Current,10000,CA,10000, 36 months,0.0611,304.72,A,false,Individual,credit_card,Credit card refinancing
Senior System Engineer,2 years,MORTGAGE,68120,Verified,MO,10145,223187,Current,14000,MO,14000, 60 months,0.1559,337.42001,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Sergical technologist,3 years,RENT,73000,Source Verified,NY,2029,28399,Current,12000,NY,12000, 60 months,0.1709,298.82001,D,false,Individual,debt_consolidation,Debt consolidation
Tax Collector,10+ years,RENT,52000,Source Verified,CT,1665,24968,Current,4500,CT,4500, 36 months,0.1139,148.16,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Manager,10+ years,MORTGAGE,195000,Not Verified,NY,19153,344749,Current,30000,NY,30000, 60 months,0.1007,638.45001,B,false,Individual,home_improvement,Home improvement
Account Manager ,2 years,MORTGAGE,108000,Verified,AZ,30946,526079,Current,30000,AZ,30000, 36 months,0.0796,939.53998,A,false,Individual,debt_consolidation,Debt consolidation
Multimedia Specialist,1 year,RENT,40000,Not Verified,NM,5232,20929,Charged Off,11075,NM,11075, 36 months,0.1431,380.19,C,false,Individual,debt_consolidation,Debt consolidation
Business / Personal Consultant,1 year,RENT,75000,Source Verified,CA,3495,45431,Current,5000,CA,5000, 36 months,0.1042,162.33,B,false,Individual,debt_consolidation,Debt consolidation
sales representative,4 years,RENT,75000,Source Verified,FL,3106,34171,Current,20000,FL,20000, 60 months,0.1262,451.19,C,false,Individual,debt_consolidation,Debt consolidation
"VP, Sr. Underwriter",1 year,RENT,100000,Verified,CA,3386,44014,Current,20000,CA,20000, 60 months,0.1699,496.95001,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
RVSR,9 years,MORTGAGE,83356,Verified,NC,12907,283959,Current,16000,NC,16000, 36 months,0.1747,574.20001,D,false,Individual,major_purchase,Major purchase
Development Lead,10+ years,RENT,110000,Verified,NJ,5026,65344,Fully Paid,35000,NJ,35000, 36 months,0.1318,1182.33,C,false,Individual,debt_consolidation,Debt consolidation
bom,10+ years,MORTGAGE,60000,Source Verified,TX,19272,154178,Fully Paid,8000,TX,8000, 36 months,0.0818,251.36,B,false,Individual,debt_consolidation,Debt consolidation
Bindery Machine Operator,3 years,OWN,113000,Source Verified,NY,1819,14555,Current,25000,NY,25000, 36 months,0.1033,810.56,B,false,Individual,debt_consolidation,Debt consolidation
AD SET,6 years,RENT,36000,Source Verified,NY,3028,27253,Current,8000,NY,8000, 36 months,0.1042,259.72,B,false,Individual,medical,Medical expenses
Registered Nurse,9 years,OWN,160000,Not Verified,CA,3522,38738,Fully Paid,10000,CA,10000, 36 months,0.1602,351.67001,C,false,Individual,debt_consolidation,Debt consolidation
Registered Nurse,1 year,OWN,92000,Source Verified,MI,2087,35474,Fully Paid,5400,MI,5400, 36 months,0.0639,165.24001,A,false,Individual,home_improvement,Home improvement
ENGINEERING ADMIN ,< 1 year,RENT,41000,Not Verified,HI,5594,33564,Current,10625,HI,10625, 36 months,0.1774,382.73999,C,false,Individual,debt_consolidation,Debt consolidation
Client Services Director,5 years,RENT,103000,Not Verified,NY,2914,20395,Current,24000,NY,24000, 60 months,0.1367,554.34998,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Grinder,8 years,MORTGAGE,30000,Not Verified,OR,22772,136632,Fully Paid,9500,OR,9500, 36 months,0.1349,322.34,C,false,Individual,credit_card,Credit card refinancing
Service Coordinator,3 years,RENT,37440,Not Verified,FL,3079,61585,Current,10000,FL,10000, 36 months,0.1474,345.39001,C,false,Individual,credit_card,Credit card refinancing
Watch commander,10+ years,MORTGAGE,140000,Verified,TX,20450,184050,Current,30000,TX,30000, 60 months,0.2549,889.17999,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Teacher,10+ years,MORTGAGE,70000,Not Verified,NH,15287,229311,Fully Paid,8000,NH,8000, 36 months,0.0702,247.09,A,false,Individual,major_purchase,Major purchase
Assitant Principal,10+ years,RENT,84315,Verified,GA,9812,147185,Charged Off,15000,GA,15000, 36 months,0.1259,502.45999,C,false,Individual,credit_card,Credit card refinancing
Carpenter ,4 years,MORTGAGE,85000,Not Verified,NJ,1384,8303,Current,18000,NJ,18000, 60 months,0.1408,419.57999,C,false,Individual,debt_consolidation,Debt consolidation
Director,10+ years,MORTGAGE,120000,Verified,NY,27099,189692,Charged Off,20800,NY,20800, 60 months,0.1999,550.96002,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Education,10+ years,MORTGAGE,60000,Source Verified,MN,13726,123530,Current,8000,MN,8000, 36 months,0.0611,243.78,A,false,Individual,debt_consolidation,Debt consolidation
Switchman,10+ years,MORTGAGE,150000,Source Verified,IL,32123,321234,Current,30000,IL,30000, 36 months,0.0881,951.34998,A,false,Individual,debt_consolidation,Debt consolidation
ACCOUNTANT,1 year,RENT,70000,Not Verified,NY,7818,62543,Current,16000,NY,16000, 36 months,0.0881,507.39001,A,false,Individual,credit_card,Credit card refinancing
nurse ad,10+ years,RENT,34000,Source Verified,NJ,838,10895,Current,8000,NJ,8000, 36 months,0.1356,271.72,C,false,Individual,debt_consolidation,Debt consolidation
Supervisor,10+ years,MORTGAGE,24000,Source Verified,NJ,833,10001,Fully Paid,5000,NJ,5000, 36 months,0.0818,157.10001,B,false,Individual,debt_consolidation,Debt consolidation
Internet Director,1 year,RENT,100000,Not Verified,CA,2145,30025,Current,25000,CA,25000, 60 months,0.1308,569.85999,B,false,Individual,credit_card,Credit card refinancing
Owner,10+ years,OWN,80000,Source Verified,NV,3456,34557,Current,15000,NV,15000, 36 months,0.1041,486.91,B,false,Individual,debt_consolidation,Debt consolidation
Associate,< 1 year,OWN,100000,Not Verified,NY,7145,64304,Charged Off,24000,NY,24000, 36 months,0.0532,722.76001,A,false,Individual,credit_card,Credit card refinancing
Manager,10+ years,RENT,104000,Not Verified,MA,2093,41851,Fully Paid,9000,MA,9000, 36 months,0.0818,282.78,B,false,Individual,debt_consolidation,Debt consolidation
Turbo Technician,< 1 year,OWN,45000,Source Verified,NY,9674,48372,Fully Paid,4500,NY,4500, 36 months,0.1699,160.42,D,false,Individual,debt_consolidation,Debt consolidation
Parts Manager,5 years,RENT,22880,Not Verified,IN,1738,12166,Fully Paid,3500,IN,3500, 36 months,0.1757,125.78,D,false,Individual,other,Other
Manager,5 years,MORTGAGE,35000,Source Verified,FL,8919,142711,Fully Paid,6400,FL,6400, 36 months,0.0999,206.48,B,false,Individual,debt_consolidation,Debt consolidation
Sales ,6 years,OWN,45000,Verified,NY,19460,77839,Current,15000,NY,15000, 60 months,0.1308,341.92001,B,false,Joint App,home_improvement,Home improvement
Sales,4 years,MORTGAGE,58000,Verified,GA,7069,98971,Fully Paid,16000,GA,16000, 60 months,0.2197,441.63,E,false,INDIVIDUAL,major_purchase,Major purchase
Business Change Manager,10+ years,MORTGAGE,175000,Source Verified,NY,6054,115024,Charged Off,28000,NY,28000, 60 months,0.1502,666.41998,C,false,Individual,debt_consolidation,Debt consolidation
Business Manager,9 years,MORTGAGE,62000,Source Verified,MN,10548,147665,Fully Paid,6000,MN,6000, 36 months,0.0967,192.67999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
commonwealth of massachusetts,10+ years,MORTGAGE,90000,Verified,MA,15351,337714,Fully Paid,23000,MA,23000, 60 months,0.089,476.32999,A,false,INDIVIDUAL,credit_card,repay first loan
Diagnostician,9 years,MORTGAGE,72500,Source Verified,TX,25671,436401,Current,8000,TX,8000, 36 months,0.1033,259.38,B,false,Individual,debt_consolidation,Debt consolidation
Aircraft Mechnic,10+ years,MORTGAGE,65000,Verified,NC,2813,36575,Charged Off,5000,NC,5000, 36 months,0.1269,167.73,C,false,Individual,home_improvement,Home improvement
Software Engineer,< 1 year,MORTGAGE,110000,Verified,CA,78565,864216,Charged Off,35000,CA,35000, 36 months,0.0789,1095,A,false,Individual,credit_card,Credit card refinancing
Production Shift Manager,3 years,MORTGAGE,65000,Not Verified,NC,12976,129757,Current,20000,NC,20000, 36 months,0.1047,649.77002,B,false,Individual,debt_consolidation,Debt consolidation
Sr Mgr Intl Transportation and Logistics,2 years,MORTGAGE,175000,Verified,CA,77117,694054,Current,21600,CA,21600, 60 months,0.1499,513.75,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Assistant Director of Nursi,5 years,MORTGAGE,90000,Source Verified,NY,17238,379244,Current,32000,NY,32000, 36 months,0.1474,1105.23,C,false,Joint App,home_improvement,Home improvement
Basic Officer,7 years,RENT,75737,Source Verified,VA,4940,44463,Current,25000,VA,25000, 36 months,0.1033,810.56,B,false,Individual,credit_card,Credit card refinancing
SALES SPECIALIST,10+ years,MORTGAGE,175000,Verified,OK,31952,351476,Current,16000,OK,16000, 36 months,0.1262,536.17999,C,false,Individual,debt_consolidation,Debt consolidation
clerk,10+ years,MORTGAGE,60000,Not Verified,CA,12439,223895,Fully Paid,10000,CA,10000, 36 months,0.0639,305.98999,A,false,Individual,credit_card,Credit card refinancing
Assistant Public Defender,1 year,RENT,48000,Source Verified,FL,10347,165545,Current,12000,FL,12000, 60 months,0.1612,292.59,C,false,Individual,credit_card,Credit card refinancing
Cnc machinist,4 years,MORTGAGE,60000,Source Verified,OH,19772,158173,Current,15125,OH,15125, 60 months,0.2099,409.10001,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Manager,1 year,MORTGAGE,105000,Not Verified,NC,16482,214267,Current,15500,NC,15500, 60 months,0.1416,361.95001,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Tile installation ,10+ years,MORTGAGE,70000,Not Verified,NY,31190,499044,Current,14000,NY,14000, 60 months,0.0881,289.32999,A,false,Joint App,debt_consolidation,Debt consolidation
Manager,8 years,RENT,18000,Source Verified,TX,1330,6648,Current,6475,TX,6475, 36 months,0.1274,217.36,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Supervisor Lead,4 years,MORTGAGE,80000,Not Verified,CO,26673,213382,Current,8000,CO,8000, 36 months,0.0532,240.92,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Senior Relationship Manager,10+ years,RENT,100000,Verified,NM,43551,391960,Current,35000,NM,35000, 60 months,0.2039,934.90002,D,false,Individual,debt_consolidation,Debt consolidation
IT Specialist,10+ years,MORTGAGE,90000,Not Verified,GA,8171,147069,Current,23000,GA,23000, 36 months,0.0899,731.28998,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
High School Administrator,10+ years,MORTGAGE,170000,Verified,IL,36609,439307,Current,35000,IL,35000, 36 months,0.1299,1179.12,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Owner,4 years,RENT,45000,Source Verified,FL,1703,11922,Current,7000,FL,7000, 36 months,0.1106,229.37,B,false,Individual,credit_card,Credit card refinancing
Executive Assistant,9 years,OWN,80000,Not Verified,TX,4109,32868,Current,19000,TX,19000, 36 months,0.0944,608.09998,B,false,Individual,debt_consolidation,Debt consolidation
Clinician,6 years,MORTGAGE,72000,Source Verified,NJ,2038,34640,Fully Paid,15000,NJ,15000, 36 months,0.0993,483.51999,B,false,Individual,credit_card,Credit card refinancing
Program Coordinator,< 1 year,MORTGAGE,32000,Not Verified,OH,21713,65139,Current,5000,OH,5000, 36 months,0.1308,168.67,B,false,Individual,car,Car financing
Attendance/Health Clerk,4 years,MORTGAGE,22000,Not Verified,MN,33978,237847,Current,20000,MN,20000, 36 months,0.1041,649.21002,B,false,Joint App,credit_card,Credit card refinancing
Secretary,7 years,OWN,45000,Not Verified,MN,3279,26232,Fully Paid,8100,MN,8100, 36 months,0.1144,266.88,B,false,Individual,credit_card,Credit card refinancing
SYSTEMS ANALYST,10+ years,MORTGAGE,64000,Not Verified,TX,18969,189691,Current,2500,TX,2500, 36 months,0.1774,90.059998,C,false,Individual,other,Other
Senior Systems Engineer,< 1 year,RENT,115000,Not Verified,NY,3740,18702,Current,25000,NY,25000, 36 months,0.0824,786.19,B,false,Individual,debt_consolidation,Debt consolidation
Sr district fleet manager,10+ years,MORTGAGE,146000,Verified,CO,21889,437773,Charged Off,25000,CO,25000, 36 months,0.1561,874.12,D,false,Individual,debt_consolidation,Debt consolidation
Personnel Program Development Specialist,10+ years,OWN,63923,Source Verified,NY,8300,99600,Fully Paid,16000,NY,16000, 60 months,0.2099,432.76999,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Correspondence,< 1 year,MORTGAGE,28000,Source Verified,SD,15944,63774,Current,11000,SD,11000, 36 months,0.0839,346.69,A,false,INDIVIDUAL,credit_card,Credit card refinancing
Teacher,1 year,MORTGAGE,48000,Source Verified,TX,14803,148033,Fully Paid,16000,TX,16000, 36 months,0.0762,498.59,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation - thank you!
Feeder Driver ,10+ years,MORTGAGE,109000,Not Verified,NJ,25530,357424,Current,15000,NJ,15000, 36 months,0.0667,460.89999,A,false,Individual,debt_consolidation,Debt consolidation
Director of Instructional Design,< 1 year,MORTGAGE,140000,Not Verified,UT,35954,323585,Current,14400,UT,14400, 36 months,0.1356,489.09,C,false,Individual,credit_card,Credit card refinancing
Shop Manager/Mechanic,4 years,MORTGAGE,67600,Not Verified,CO,19308,270309,Fully Paid,16500,CO,16500, 36 months,0.0967,529.85999,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
General Manager,10+ years,MORTGAGE,62000,Verified,GA,11552,127071,Fully Paid,12000,GA,12000, 36 months,0.1274,402.82999,C,false,Individual,credit_card,Credit card refinancing
Deposit Operations Manager,7 years,MORTGAGE,75000,Verified,WI,2416,50746,Late (31-120 days),3000,WI,3000, 36 months,0.1358,101.93,C,false,Individual,credit_card,Credit card refinancing
Sr. Administrative Specialist,10+ years,MORTGAGE,52000,Verified,NC,15606,109244,Current,25000,NC,25000, 60 months,0.1505,595.40997,C,false,Individual,debt_consolidation,Debt consolidation
MANAGER,2 years,MORTGAGE,120000,Verified,NH,30727,307270,Current,39000,NH,39000, 36 months,0.0881,1236.75,A,false,Individual,credit_card,Credit card refinancing
Humana,2 years,MORTGAGE,83000,Verified,KY,49502,396017,Fully Paid,21000,KY,21000, 60 months,0.2149,573.92999,E,false,INDIVIDUAL,debt_consolidation,Debt Con/Home
Manager of Operation,10+ years,RENT,60000,Verified,PA,2237,26843,Current,26400,PA,26400, 60 months,0.0739,527.63,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Director of Sales,3 years,MORTGAGE,196000,Source Verified,TX,36913,701355,Fully Paid,21000,TX,21000, 36 months,0.1333,710.91998,C,false,Individual,debt_consolidation,Debt consolidation
Civil Engineer Supervisor,10+ years,MORTGAGE,95000,Not Verified,NY,3349,33486,Fully Paid,3500,NY,3500, 36 months,0.0667,107.55,A,false,Joint App,home_improvement,Home improvement
Project Account,1 year,MORTGAGE,35000,Not Verified,AZ,27351,246163,Current,25000,AZ,25000, 60 months,0.1447,587.82001,C,false,Joint App,debt_consolidation,Debt consolidation
Corporate IT,10+ years,RENT,60200,Source Verified,AZ,1675,21780,Current,6400,AZ,6400, 36 months,0.1049,207.99001,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Office Manager,10+ years,RENT,75000,Verified,CA,900,9905,Charged Off,22175,CA,22175, 36 months,0.1757,796.90997,D,false,Individual,debt_consolidation,Debt consolidation
Financial Analyst,< 1 year,RENT,48000,Not Verified,MD,8842,35368,Fully Paid,6500,MD,6500, 36 months,0.1359,220.87,C,false,Individual,debt_consolidation,Debt consolidation
Senior Manager,10+ years,MORTGAGE,112000,Verified,FL,24407,317294,Charged Off,18275,FL,18275, 60 months,0.2549,541.65997,E,false,Individual,debt_consolidation,Debt consolidation
Pharmacist,8 years,MORTGAGE,150000,Verified,AL,41015,533192,Current,39800,AL,39800, 36 months,0.1139,1310.37,B,false,Individual,debt_consolidation,Debt consolidation
Special Education Teacher,1 year,RENT,56651,Not Verified,CA,18865,207514,Current,27650,CA,27650, 60 months,0.1308,630.26001,B,false,Individual,credit_card,Credit card refinancing
